longname,shortnam,mort,logmort0,risk,loggdp,latitude,neoeuro,asia,africa,other,rainmin,meantemp,malaria
Nigeria,NGA,2004,7.6029005,5.5500002,6.8099999,.1111,0,0,1,0,25,28,1
Nicaragua,NIC,163.3,5.0955892,5.23,7.54,.1444,0,0,0,0,1,27,.1
New Zealand,NZL,8.5500002,2.1459312,9.7299995,9.7600002,.45559999,1,0,0,1,81,15,0
Pakistan,PAK,36.990002,3.6106477,6.0500002,7.3499999,.33329999,0,1,0,0,12,22,.494611
Panama,PAN,163.3,5.0955892,5.9099998,8.8400002,.1,0,0,0,0,10,27,.030996
Peru,PER,71,4.2626801,5.77,8.3999996,.1111,0,0,0,0,0,22,.029736999
Paraguay,PRY,78.099998,4.3579903,6.9499998,8.21,.25560001,0,0,0,0,38,22,.000172
Sudan,SDN,88.199997,4.4796071,4,7.3099999,.16670001,0,0,1,0,0,29,.98023999
Senegal,SEN,164.66,5.1038828,6,7.4000001,.1556,0,0,1,0,0,28,1
Singapore,SGP,17.700001,2.8735647,9.3199997,10.15,.0136,0,1,0,0,170,28,0
Sierra Leone,SLE,483,6.1800165,5.8200002,6.25,.092200004,0,0,1,0,3,27,1
El Salvador,SLV,78.099998,4.3579903,5,7.9499998,.15000001,0,0,0,0,46,24,0
Togo,TGO,668,6.5042882,6.9099998,7.2199998,.0889,0,0,1,0,15,27,1
Trinidad and Tobago,TTO,85,4.4426513,7.4499998,8.7700005,.1222,0,0,0,0,41,26,0
Tunisia,TUN,63,4.1431346,6.4499998,8.4799995,.37779999,0,0,1,0,3,24,0
Tanzania,TZA,145,4.9767337,6.6399999,6.25,.066699997,0,0,1,0,0,22,1
Uganda,UGA,280,5.6347895,4.4499998,6.9699998,.0111,0,0,1,0,46,24,1
Uruguary,URY,71,4.2626801,7,9.0299997,.36669999,0,0,0,0,66,20,0
USA,USA,15,2.7080503,10,10.22,.42219999,1,0,0,0,66,12,0
Venezuela,VEN,78.099998,4.3579903,7.1399999,9.0699997,.0889,0,0,0,0,10,20,.002234
Vietnam,VNM,140,4.9416423,6.4099998,7.2800002,.1778,0,1,0,0,18,25,.71545798
South Africa,ZAF,15.5,2.74084,6.8600001,8.8900003,.3222,0,0,1,0,8,19,0
Zaire,ZAR,240,5.480639,3.5,6.8699999,0,0,0,1,0,3,25,1
